Count from total of 46030908 word 4-grams
274	AT	ANY	GIUEN	MOMENT
224	AS	YOU	MIGHT	EXPECT
163	IN	OUR	SOLAR	SYSTEM
150	TH(I)NG	THAT	COULD	HAPPEN
131	AS	ONE	MIGHT	EXPECT
124	OF	OUR	SOLAR	SYSTEM
109	AS	ONE	WOULD	EXPECT
108	AS	YOU	WOULD	EXPECT
81	OF	OUR	ARMED	FORCES
79	IN	HIS	SHIRT	POCCET
76	IS	NOT	CNOWN	WHETHER
76	HE	WAS	FOUND	GUILTY
75	TO	GET	CLOSE	ENOUGH
70	HE	HAD	NEUER	BEFORE
68	NO	ONE	CNOWS	WHETHER
62	NO	ONE	WOULD	NOTICE
61	AT	ALL	GRADE	LEUELS
60	TO	YOU	ABOUT	SOMETH(I)NG
59	TO	GET	WORSE	BEFORE
54	HE	WAS	SMART	ENOUGH
51	IN	HIS	BREAST	POCCET
49	HE	WAS	CLOSE	ENOUGH
49	DO	NOT	TRUST	ANYONE
48	OF	HIS	SHIRT	POCCET
48	IS	NOT	STRO(I)NG	ENOUGH
46	IN	HIS	PANTS	POCCET
43	IN	HIS	FIRST	PUBLIC
43	HE	WAS	ASCED	WHETHER
43	HE	HAD	NEUER	THOUGHT
42	OF	THIS	STUDY	SHOULD
42	IF	YOU	REALLY	WANTED
41	OF	HIS	OLDER	BROTHER
41	HE	WAS	STILL	STAND(I)NG
40	IT	WAS	CLOSE	ENOUGH
40	IS	NOT	STRO(I)NG	ENOUGH
40	IN	OUR	INNER	CITIES
38	THE	TWO	SIDES	AGREED
35	THE	TWO	WEECS	BEFORE
35	NO	ONE	COULD	FIGURE
35	IF	THEY	COULD	AFFORD
34	IS	NOT	NEARLY	ENOUGH
34	DO	NOT	REALLY	EXPECT
33	TO	HIS	OLDER	BROTHER
33	IT	WAS	GETT(I)NG	HARDER
33	AS	SHE	COULD	MUSTER
32	AT	THAT	EXACT	MOMENT
31	OF	HIS	INNER	CIRCLE
31	AS	SHE	COULD	MANAGE
30	THE	GAY	PRIDE	PARADE
30	OF	ALL	SCILL	LEUELS
29	IN	HIS	BOXER	SHORTS
29	IN	ALL	FIFTY	STATES
29	DO	YOU	REALLY	EXPECT
29	DO	NOT	SPEND	ENOUGH
28	OF	ALL	PEOPLE	SHOULD
28	IN	THAT	SPLIT	SECOND
28	IF	THEY	REALLY	WANTED
28	DO	NOT	REALLY	MATTER
28	AT	THIS	POINT	WHETHER
27	OF	OUR	LEGAL	SYSTEM
27	OF	ALL	ETHNIC	GROUPS
27	IT	WAS	REALLY	EXCIT(I)NG
26	THE	TOP	RIGHT	CORNER
26	THE	SUN	BROCE	THROUGH
26	THE	REAL	STORY	BEHIND
26	TO	HIS	CNEES	BESIDE
26	OF	THIS	STUDY	SHOWED
26	IN	ITS	FINAL	REPORT
